ProductName,TotalQuantity,TotalSellingValue,TotalBuyValue,Total profit,product,category
OMEXFOLIARFEED100ML,2,500,356,288,foliar feed,agro
COOPERSMILKINGSALVE100GM,2,300,206,188,salve,cattle
NIKIZOLE2.5%120ML,2,300,90,420,dewormer,cattle
EPSOMSALT500G500GM,2,400,120,560,supplement,all purpose
MACLIKPLUS2KG,2,900,740,320,mineral powder salts,cattle
VETPOWERMILKREPLACER5KG,2,4500,3740,1520,milk replacer,cattle
VICTORY720WP*50GMLTD),2,300,180,240,fungicide,agro
EASYGROVEGETATIVE1KG,2,1100,896,408,foliar feed,agro
DARVIN50EW28ML,2,300,160,280,insecticide,house hold
ESCORT019EC100ML,2,1300,942,716,insecticide,agro
ACTELLIC-GOLD020DP*200GM,1,450,354,96,insecticide,grain
TWIGALICKDRYCOW2KG,1,550,419,131,mineral powder salts,cattle
MSVCAL-P250GMMSV,1,170,105,65,supplement,all purpose
FUGOCHICKANDDUCKMASH1KG,1,85,74,11,feeds,poultry
ACTELLIC-SUPER019DP*200GM,1,300,220,80,insecticide,grain
DUDUTHRIN1.75EC1L,1,1750,1471,279,insecticide,agro
HERBIKILL200SL200ML,1,350,249,101,herbicide,agro
SCORE250EC100ML,1,1100,869,231,insecticide,agro
ORTIVA250SC100ML,1,1250,1045,205,fungicide,agro
MACLIKDRYCOW1KG,1,300,245,55,mineral powder salts,cattle
MAXIGROWFOLIAR1L,1,850,528,322,foliar feed,agro
OSHOTHANEPLUS100GM,1,180,102,78,fungicide,agro
DYNAMEC018EC10ML,1,250,165,85,insecticide,agro
ACTELLIC-GOLD020DP*500GM,1,980,781,199,insecticide,grain
ACTELLIC-GOLD020DP*100GM,1,280,190,90,insecticide,grain
CYCLOTRON450EC*100ML,1,300,246,54,insecticide,agro
WELLVETBROILERBOOSTER100GMLTD),1,250,0,250,supplement,poultry
DUDUTHRIN1.75EC50ML,1,200,134,66,insecticide,agro
SYPERTIX10%EC20ML,1,200,94,106,acaricide,cattle
BESTOX100EC100ML,1,350,220,130,insecticide,agro
DOMINEX100EC50ML,1,350,256,94,acaricide,cattle
MINE-LICKMAZIWABLOCK1KG,1,150,90,60,mineral block salts,cattle
LIVERGENPLUS100ML,1,400,324,76,antibiotics,poultry
ESB330%20GM,1,0,0,0,antibiotics,poultry
VITALJOTO2KG,1,450,338,112,mineral powder salts,cattle
DELETE050EC40ML,1,380,313,67,acaricide,cattle
AMINOVITALSOLUTION1L,1,1650,1400,250,antibiotics,poultry
CHAMPIONMAZIWA20KG,1,2400,1850,550,mineral powder salts,cattle
ULTRAMIXMAZIWA2KG,1,450,348,102,mineral powder salts,cattle
MAPATOLAYERSMASH10KG,1,500,0,500,feeds,poultry
SIDAIPOULTRYVITAMINS500GM,1,850,600,250,supplement,poultry
DUDUTHRIN1.75EC100ML,1,300,216,84,insecticide,agro
ALBAFAS2.5%120ML,1,150,62,88,dewormer,cattle
FUGOGROWERSMASH50KG,1,3300,3000,300,feeds,poultry
AJABWHEATPOLLARD50KG,1,1750,1500,250,feeds,pigs&cattle
MAPATOCHICKMASH10KG,1,450,0,450,feeds,poultry
DUODIP550EC*50ML,1,450,358,92,acaricide,cattle
WETSULF800WP1KG,1,450,295,155,fungicide,agro
SKANA-SUPERGRAIN023DP*100GM,1,150,56,94,insecticide,grain
DOXIN200WS100GM,1,700,618,82,antibiotics,poultry
ULTRAMIXNYAMA2KG,1,300,143,157,mineral powder salts,cattle
DUODIP550EC*100ML,1,750,553,197,acaricide,cattle
ULTRAMIXNYAMA1KG,1,200,75,125,mineral powder salts,cattle
KEROL250ML,1,500,356,144,disinfectant,house hold
ACTELLIC-GOLD020DP*1KG,1,1650,1452,198,insecticide,grain
ACTELLIC-SUPER019DP*1KG,1,950,811,139,insecticide,grain
HYDROGENPEROXIDE200ML,1,100,50,50,disinfectant,all purpose
MACLIKSUPER5KG,1,1350,1151,199,mineral powder salts,cattle
PLANTONE045SP30ML,1,180,134,46,insecticide,agro
ALAMYCINAEROSOL140GM,1,500,390,110,disinfectant,all purpose
PEMBEFINISHERPELLETS50KG,1,3900,3600,300,feeds,poultry
AFYABORAMAZIWATELE5KG,1,1200,918,282,mineral powder salts,cattle
WEEDAL480SL500ML,1,450,315,135,herbicide,agro
DUDU-KRINSUPER500ML,1,850,620,230,acaricide,pet
ALPHADEGREE10%EC100ML,1,300,221,79,insecticide,agro
TYLODOXI100GM,1,600,400,200,acaricide,poultry
PEMBEBROILERSTARTERCRUMBS50KG,1,4300,4000,300,feeds,poultry
CHAMPIONMAZIWA10KG,1,1400,950,450,mineral powder salts,cattle
GRADOMETOR480EC500ML,1,1300,806,494,termicide,agro
MAPATODAIRYMEAL10KG,1,350,0,350,feeds,cattle
SEVINDUDU075WP200GM,1,180,115,65,acaricide powder,house hold
MILKREPLACER1KG,1,650,585,65,milk replacer,cattle
SYPERTIX10%EC50ML,1,350,235,115,acaricide,cattle
WELLVETBROILERBOOSTER1KGLTD),1,1300,1095,205,supplement,poultry
VITALMAZIWA5KG,1,1250,1089,161,mineral powder salts,cattle
RIDOMILGOLDMZ68WG50GM,1,250,190,60,fungicide,agro
PALPETPOWDER300GM,1,450,295,155,acaricide powder,pet
TWIGALICKJOTO2KG,1,450,315,135,mineral powder salts,cattle
TUFFSHELL100ML,1,250,161,89,supplement,poultry
CIBUSCHICKSTART500GM,1,650,440,210,supplement,poultry
HERBIKILL200SL1L,1,1350,932,418,herbicide,agro
